,origin_n,dest_index,route,distance
0,1745372422,1621241515,"[1745372422, 1745372342, 1520854230, 1520854175, 7591934423, 1520854132, 1520854074, 1520854054, 1520854051, 6366109377, 1520859709, 2022352775, 2022179100, 2011945851, 4376588028, 2011945877, 1621339768, 331582862, 1621241511, 1621241515]",56483.71000000002
0,357192017,1621241515,"[357192017, 1745428370, 1212989948, 1728604912, 357192162, 3980813362, 1212933083, 8783999719, 10125642301, 1621339828, 1212924415, 1212924505, 1621241653, 1621241635, 1621241619, 1621241613, 1621241598, 1621241565, 608652864, 331582866, 1621241515]",30076.234
0,1745332974,1621241515,"[1745332974, 1745332715, 1745332137, 1745333055, 3084422788, 3531895037, 390752694, 11265608017, 1520854053, 1520854052, 1520854051, 6366109377, 1520859709, 2022352775, 2022179100, 2011945851, 4376588028, 2011945877, 1621339768, 331582862, 1621241511, 1621241515]",71173.874
0,1745320672,1621241515,"[1745320672, 1520854230, 1520854175, 7591934423, 1520854132, 1520854074, 1520854054, 1520854051, 6366109377, 1520859709, 2022352775, 2022179100, 2011945851, 4376588028, 2011945877, 1621339768, 331582862, 1621241511, 1621241515]",53541.924000000006
0,1745423833,1621241515,"[1745423833, 1745423737, 3703907482, 1728604900, 1745423670, 1745423637, 1745423564, 1745423254, 3225748234, 1621339778, 331582862, 1621241511, 1621241515]",34099.005999999994
0,1745372422,1621241515,"[1745372422, 1745372342, 1520854230, 1520854175, 7591934423, 1520854132, 1520854074, 1520854054, 1520854051, 6366109377, 1520859709, 2022352775, 2022179100, 2011945851, 4376588028, 2011945877, 1621339768, 331582862, 1621241511, 1621241515]",56483.71000000002
0,1520854230,1621241515,"[1520854230, 1520854175, 7591934423, 1520854132, 1520854074, 1520854054, 1520854051, 6366109377, 1520859709, 2022352775, 2022179100, 2011945851, 4376588028, 2011945877, 1621339768, 331582862, 1621241511, 1621241515]",48053.090000000004
0,1212933277,1621241515,"[1212933277, 3980813365, 3980813362, 1212933083, 8783999719, 10125642301, 1621339828, 1212924415, 1212924505, 1621241653, 1621241635, 1621241619, 1621241613, 1621241598, 1621241565, 608652864, 331582866, 1621241515]",9171.457
0,1745332974,1621241515,"[1745332974, 1745332715, 1745332137, 1745333055, 3084422788, 3531895037, 390752694, 11265608017, 1520854053, 1520854052, 1520854051, 6366109377, 1520859709, 2022352775, 2022179100, 2011945851, 4376588028, 2011945877, 1621339768, 331582862, 1621241511, 1621241515]",71173.874
0,1745423254,1621241515,"[1745423254, 3225748234, 1621339778, 331582862, 1621241511, 1621241515]",13435.506
0,7591934423,1621241515,"[7591934423, 1520854132, 1520854074, 1520854054, 1520854051, 6366109377, 1520859709, 2022352775, 2022179100, 2011945851, 4376588028, 2011945877, 1621339768, 331582862, 1621241511, 1621241515]",40550.926
